time;p_scr
2026-03-17T19:13:01.925274;0.4698
2026-03-19T11:20:15.848062;0.2127
2026-03-19T23:18:02.975897;0.1127
2026-03-20T21:25:20.126407;0.0516
2026-03-21T12:58:43.054041;0.4354
2026-03-26T13:08:50.696706;0.0006
2026-03-26T13:10:01.855658;0.0001
2026-03-27T21:50:46.831189;0.0173
2026-04-05T17:57:49.063251;0.0004
2026-04-05T17:58:46.337322;0.0001
2026-04-05T17:59:18.245019;0.9979
2026-04-22T22:31:30.205337;0.0001
2026-04-22T22:33:47.072597;0.0
2026-05-01T20:56:09.283242;0.0004
2026-05-01T20:56:37.769036;0.9984
