time;p_scr
2026-03-18T18:04:53.165201;0.0501
2026-03-18T21:07:59.386991;0.6959
2026-03-18T22:14:27.516314;0.8889
2026-03-23T18:33:32.110797;0.0666
2026-03-24T15:48:33.727376;0.039
2026-03-25T14:16:21.745946;0.3051
2026-03-27T21:37:18.423559;0.0057
2026-03-27T21:37:56.649411;0.9976
2026-04-05T17:56:51.616081;0.0008
2026-04-05T17:58:43.961386;0.0002
2026-04-05T17:59:26.402579;0.9974
2026-04-22T22:32:50.701067;0.0002
2026-04-30T20:06:17.359855;0.0017
2026-04-30T20:07:01.549899;0.0006
2026-04-30T20:08:04.898318;0.0002
2026-05-01T20:55:35.185352;0.0001
2026-05-01T20:56:51.124978;0.9945
