time;p_scr
2026-03-17T18:41:32.727008;0.4529
2026-03-18T22:06:14.022303;0.3862
2026-03-18T22:15:08.321641;0.9908
2026-03-19T15:00:53.473936;0.4894
2026-03-21T12:59:15.657135;0.2998
2026-03-23T18:32:57.249123;0.2933
2026-03-25T14:17:26.912664;0.1794
2026-03-26T13:09:44.069073;0.0004
2026-03-27T21:43:25.564687;0.0181
2026-03-27T21:46:49.300409;0.9864
2026-04-02T18:03:09.395948;0.0003
2026-04-07T19:27:22.105092;0.0006
2026-04-07T19:28:12.881639;0.9966
2026-04-22T22:30:51.035406;0.0
2026-04-22T22:32:37.802655;0.0
2026-04-22T22:33:37.293189;0.0
2026-04-30T20:03:52.558757;0.0
2026-04-30T20:03:58.143364;0.9996
2026-05-12T17:30:02.314494;0.0
2026-05-12T17:30:14.950923;0.0
2026-05-12T17:30:30.712820;0.9987
