time;p_scr
2026-03-21T22:49:14.873702;0.9988
2026-03-25T18:41:04.829233;0.2904
2026-03-26T13:09:24.511424;0.0293
2026-03-26T13:12:31.283327;0.0015
2026-03-26T13:13:06.618660;0.0
2026-03-26T13:13:29.099769;0.0
2026-03-27T21:56:14.989870;0.0253
2026-03-27T21:57:38.360644;0.0079
2026-03-27T21:58:17.858584;0.9973
2026-04-02T18:01:43.992555;0.002
2026-04-02T18:03:25.447031;0.0004
2026-04-07T19:28:50.769213;0.0017
2026-04-08T19:24:24.170808;0.0002
2026-04-08T19:25:16.248214;0.9966
2026-04-22T22:33:18.607108;0.0002
2026-04-22T22:33:50.671918;0.0
2026-04-30T20:06:45.016943;0.0005
2026-05-01T20:55:09.774600;0.0001
2026-05-01T20:55:28.323425;0.0
2026-05-01T20:55:38.351741;0.9992
