time;p_scr
2026-03-19T11:04:39.058937;0.2647
2026-03-19T11:06:30.623049;0.9982
2026-03-25T14:18:00.063907;0.1716
2026-03-25T18:40:49.465519;0.0476
2026-03-27T21:37:40.556083;0.0181
2026-03-27T21:41:53.213306;0.9865
2026-04-05T17:56:32.949520;0.0014
2026-04-05T17:57:44.983071;0.9964
2026-04-24T00:24:14.759181;0.0005
2026-04-24T00:26:06.199860;0.9949
2026-04-30T20:08:46.854184;0.0055
2026-05-01T20:56:20.169045;0.0025
2026-05-01T20:57:21.871103;0.9971
2026-05-12T17:31:26.424661;0.0019
2026-05-12T17:31:58.750800;0.9986
2026-05-24T00:22:59.522332;0.0026
