time;p_scr
2026-03-17T19:03:51.462724;0.8971
2026-03-25T18:41:50.672450;0.0
2026-03-26T13:07:00.511427;0.0
2026-03-26T13:08:31.234670;0.0
2026-03-26T13:09:29.369240;0.9949
2026-03-27T21:52:57.025169;0.0142
2026-03-27T21:54:25.683514;0.9942
2026-04-02T18:02:11.361180;0.0017
2026-04-05T17:57:32.769219;0.0002
2026-04-05T17:58:34.828494;0.0
2026-04-05T17:58:54.479220;0.0
2026-04-12T22:42:34.838100;0.0
2026-04-12T22:42:48.711466;0.0
2026-04-22T22:32:19.926268;0.0
2026-04-24T00:25:56.250695;0.0
2026-04-30T20:02:39.971846;0.0
2026-04-30T20:02:53.710927;0.0
2026-04-30T20:03:17.994331;0.9973
2026-05-01T20:59:13.586362;0.0066
2026-05-01T21:00:45.830126;0.9912
2026-05-14T22:55:03.977114;0.0
2026-05-14T22:57:18.869918;0.9868
2026-05-24T00:22:28.884345;0.0
2026-05-24T00:23:21.600296;0.0
2026-05-24T00:24:37.523774;0.9928
