time;p_scr
2026-03-18T22:05:42.772255;0.111
2026-03-19T11:05:49.111534;0.0356
2026-03-19T11:18:49.499801;0.0117
2026-03-19T15:00:33.244166;0.0038
2026-03-19T15:01:15.493743;0.0012
2026-03-19T23:17:08.732690;0.4556
2026-03-20T21:23:59.308808;0.2854
2026-03-21T16:31:49.820456;0.3854
2026-03-26T13:08:14.275907;0.0069
2026-03-27T21:45:20.415326;0.0896
2026-03-27T21:47:11.050008;0.9958
2026-04-05T17:59:10.370899;0.0135
2026-04-24T00:24:44.224997;0.0079
2026-05-12T17:30:26.490778;0.0115
2026-05-14T23:01:28.475797;0.003
