time;p_scr
2026-03-17T18:40:19.934557;0.1533
2026-03-17T19:13:15.728853;0.1037
2026-03-19T11:06:01.733370;0.0271
2026-03-19T11:19:30.953036;0.0161
2026-03-19T14:59:50.426418;0.6523
2026-03-24T15:48:39.960082;0.0126
2026-03-25T14:16:30.653312;0.0057
2026-03-25T16:51:22.022171;0.0033
2026-03-25T16:51:56.371035;0.0019
2026-03-25T16:52:29.624166;0.9985
2026-03-26T13:12:13.457996;0.0004
2026-03-26T13:12:28.316574;0.0002
2026-03-27T21:41:14.444161;0.0001
2026-03-27T21:41:56.402572;0.0
2026-03-27T21:44:16.835184;0.0
2026-03-27T21:44:33.214999;0.0
2026-03-27T21:44:57.888329;0.0
2026-03-27T21:46:07.567008;0.9847
2026-04-02T18:02:26.938450;0.0
2026-04-02T18:02:52.674226;0.9945
2026-04-06T15:50:35.910141;0.0
2026-04-06T15:51:04.873995;0.0
2026-04-06T15:51:54.665914;0.9907
2026-04-30T20:04:13.226034;0.0
2026-04-30T20:04:25.755154;0.0
2026-04-30T20:04:33.802534;0.9986
2026-05-01T20:57:50.249714;0.0004
2026-05-01T20:59:24.454073;0.0003
2026-05-01T21:00:00.495100;0.9943
