time;p_scr
2026-03-21T12:59:50.242193;0.0
2026-03-21T16:31:33.665854;0.0
2026-03-21T16:31:56.882968;0.0
2026-03-21T16:32:22.279266;0.0
2026-03-21T16:33:04.301647;0.0
2026-03-21T22:47:46.598001;0.0
2026-03-21T22:47:58.918234;0.9993
2026-03-26T13:07:31.848977;0.0002
2026-03-26T13:09:48.827598;0.0
2026-03-27T21:57:10.510869;0.0079
2026-03-30T13:02:34.969184;0.0
2026-03-30T13:02:45.182004;0.9991
2026-04-02T18:02:11.476923;0.0021
2026-04-02T18:03:28.238258;0.0005
2026-04-06T15:51:36.995774;0.0009
2026-04-06T15:52:26.998389;0.9967
2026-04-22T22:34:00.162236;0.0001
2026-04-30T20:07:23.308454;0.0017
2026-05-01T20:56:15.561775;0.0004
2026-05-01T20:56:56.225855;0.0001
2026-05-14T23:00:22.273259;0.0001
2026-05-14T23:02:15.453276;0.9931
2026-05-24T00:23:04.847164;0.0008
