time;p_scr
2026-03-18T21:08:28.030053;0.1929
2026-03-19T11:19:12.484072;0.5703
2026-03-21T13:00:02.462369;0.2462
2026-03-25T18:40:02.093884;0.0
2026-03-25T18:41:14.005460;0.9747
2026-03-26T13:12:38.000377;0.0454
2026-03-27T21:38:16.486762;0.0027
2026-03-27T21:38:36.508707;0.9984
2026-03-27T21:58:26.295818;0.9138
2026-04-02T18:01:25.973506;0.0001
2026-04-02T18:02:44.328132;0.9938
2026-04-06T15:51:12.825581;0.0007
2026-04-06T15:51:26.849245;0.999
2026-04-12T22:41:03.969896;0.0003
2026-04-12T22:41:25.716135;0.9985
