time;p_scr
2026-03-20T21:25:34.070582;0.0
2026-03-21T12:58:28.219043;0.0
2026-03-21T12:59:04.280840;0.0
2026-03-21T12:59:43.285569;0.9991
2026-03-27T21:46:07.409456;0.0845
2026-03-27T21:52:37.310057;0.0107
2026-03-27T21:55:06.523508;0.0009
2026-03-27T21:55:34.912824;0.0001
2026-03-27T21:55:45.090909;0.9993
2026-04-05T17:58:22.429594;0.0014
2026-04-06T15:51:08.878821;0.0001
2026-04-06T15:51:40.882010;0.0
2026-04-08T19:26:44.255169;0.0058
2026-04-08T19:26:59.892673;0.999
2026-04-22T22:32:14.509283;0.0004
2026-04-24T00:24:23.437087;0.0001
2026-04-24T00:24:35.894835;0.9993
2026-05-01T20:56:05.856741;0.0017
2026-05-01T20:57:02.770110;0.0005
2026-05-14T23:00:50.704507;0.0003
2026-05-14T23:01:05.739712;0.0001
2026-05-14T23:01:53.264033;0.9971
2026-05-24T00:22:07.351499;0.0008
2026-05-24T00:22:50.825686;0.9977
