time;p_scr
2026-03-17T19:14:05.252006;0.3797
2026-03-18T18:06:07.661957;0.1804
2026-03-21T12:59:32.113366;0.0492
2026-03-21T16:32:47.630112;0.0259
2026-03-21T22:48:12.923409;0.013
2026-03-21T22:50:19.104149;0.9959
2026-03-26T13:07:24.963733;0.0
2026-03-26T13:12:19.954190;0.0
2026-03-26T13:12:46.499538;0.0
2026-03-27T21:36:16.811722;0.0
2026-03-27T21:37:28.259346;0.0
2026-03-27T21:38:19.514130;0.9918
2026-04-07T19:27:05.915132;0.0
2026-04-07T19:27:45.337690;0.0
2026-04-07T19:27:53.845631;0.9988
2026-05-01T20:56:29.392910;0.0
2026-05-01T20:57:25.569901;0.0
2026-05-20T16:45:34.743833;0.0
2026-05-20T16:46:15.847606;0.0
2026-05-20T16:47:22.460229;0.0
2026-05-20T16:47:35.198500;0.0
2026-05-20T16:50:14.877752;0.9768
