time;p_scr
2026-03-17T19:02:03.943838;0.2794
2026-03-17T19:15:33.860898;0.2301
2026-03-18T18:06:11.341400;0.0148
2026-03-18T21:06:40.901655;0.0076
2026-03-18T21:07:13.329171;0.0049
2026-03-18T22:04:50.983002;0.7937
2026-03-19T11:05:20.268037;0.1716
2026-03-19T11:20:09.360491;0.9601
2026-03-19T23:17:23.314017;0.2187
2026-03-21T12:58:50.414202;0.0714
2026-03-21T22:48:34.733221;0.0406
2026-03-21T22:51:43.046497;0.9924
2026-03-24T15:47:42.769164;0.0306
2026-03-25T14:16:58.222038;0.1721
2026-03-25T18:40:14.262826;0.0
2026-03-26T13:07:58.420144;0.0
2026-03-27T21:38:25.057389;0.0
2026-03-27T21:40:55.959028;0.9737
2026-04-07T19:27:57.609400;0.0
2026-04-07T19:29:00.067403;0.9892
