time;p_scr
2026-03-25T16:51:45.424403;0.0
2026-03-25T16:52:14.049184;0.0
2026-03-25T16:52:58.905258;0.0
2026-03-25T18:39:35.152192;0.7586
2026-03-27T21:52:42.101627;0.0124
2026-03-27T21:54:29.026157;0.0012
2026-03-27T21:54:52.657200;0.0001
2026-03-27T21:55:48.819627;0.9952
2026-04-02T18:03:39.793941;0.0008
2026-04-05T17:57:03.929588;0.0
2026-04-08T19:27:09.488081;0.0
2026-04-12T22:40:28.007995;0.0
2026-04-12T22:40:48.870580;0.9978
2026-04-22T22:33:44.265648;0.0
2026-04-30T20:06:07.643161;0.0001
2026-04-30T20:06:50.283970;0.9972
