time;p_scr
2026-03-17T18:40:54.611637;0.3561
2026-03-19T11:04:48.219412;0.0183
2026-03-19T11:19:18.203702;0.0122
2026-03-19T14:59:34.936028;0.0068
2026-03-19T15:01:39.834669;0.0045
2026-03-19T23:18:15.586397;0.0019
2026-03-19T23:19:12.609089;0.0012
2026-03-20T21:23:19.821990;0.0003
2026-03-20T21:24:12.403728;0.0002
2026-03-20T21:24:59.155262;0.9963
2026-03-25T16:51:29.221309;0.0012
2026-03-25T16:52:06.112777;0.0008
2026-03-25T16:52:43.705075;0.0006
2026-03-25T18:39:55.456992;0.0
2026-03-27T21:46:15.110515;0.0
2026-03-27T21:50:28.548856;0.0
2026-03-27T21:50:40.286918;0.0
2026-03-27T21:51:06.910967;0.9921
2026-04-08T19:25:04.128892;0.0
2026-04-08T19:25:42.330189;0.0
2026-04-08T19:26:17.529965;0.9911
2026-05-01T20:59:51.651353;0.0
2026-05-01T21:00:12.036332;0.0
