time;p_scr
2026-03-17T19:02:36.807707;0.1748
2026-03-18T21:07:29.323250;0.0631
2026-03-19T11:05:37.627612;0.0229
2026-03-19T11:18:31.944491;0.0089
2026-03-19T11:19:42.204781;0.0034
2026-03-19T14:59:22.041024;0.6707
2026-03-20T21:23:50.901593;0.2198
2026-03-21T22:49:18.545487;0.3206
2026-03-26T13:07:19.639736;0.0004
2026-03-26T13:09:39.893493;0.9915
2026-04-02T18:02:37.580818;0.0018
2026-04-06T15:52:35.918367;0.0113
2026-04-07T19:29:20.666309;0.0023
2026-04-08T19:24:19.211070;0.0004
2026-04-08T19:24:46.424199;0.9983
2026-04-24T00:23:45.852709;0.0002
2026-04-24T00:25:12.464629;0.0
2026-04-30T20:06:28.315291;0.0
2026-04-30T20:07:28.108222;0.0
