time;p_scr
2026-03-17T18:41:04.230094;0.0782
2026-03-17T19:02:27.584752;0.041
2026-03-17T19:15:42.010194;0.9775
2026-03-21T22:48:56.395599;0.0352
2026-03-21T22:50:43.651227;0.0201
2026-03-23T18:35:09.920794;0.1164
2026-03-24T15:46:30.210264;0.0511
2026-03-25T18:40:10.957375;0.0
2026-03-26T13:13:23.877802;0.0009
2026-03-27T21:36:26.294547;0.0
2026-04-08T19:26:21.288598;0.0
2026-04-08T19:26:31.077779;0.9991
2026-05-01T21:04:22.407777;0.0
2026-05-01T21:05:17.571840;0.0
2026-05-01T21:05:20.968666;0.0
2026-05-01T21:05:36.339765;0.9985
