time;p_scr
2026-03-18T22:06:44.252055;0.4003
2026-03-19T15:02:28.770795;0.1514
2026-03-20T21:25:04.694962;0.0513
2026-03-21T13:00:11.028901;0.0175
2026-03-21T16:31:52.474345;0.0062
2026-03-21T16:32:19.547497;0.0022
2026-03-21T16:33:13.199783;0.0008
2026-03-21T22:47:54.510366;0.0003
2026-03-21T22:48:15.830067;0.0001
2026-03-21T22:48:59.847741;0.9977
2026-03-25T16:51:59.640610;0.0212
2026-03-25T16:52:32.585405;0.0138
2026-03-25T18:40:05.594402;0.0
2026-03-26T13:09:33.134180;0.0
2026-03-26T13:11:59.667087;0.0
2026-03-26T13:12:16.831751;0.9969
2026-03-27T21:50:59.688116;0.0002
2026-03-27T21:52:02.787355;0.0001
2026-03-27T21:52:31.182092;0.0
2026-03-27T21:52:33.814703;0.9996
2026-04-05T17:58:03.134917;0.0
2026-04-06T15:52:19.847057;0.0
2026-04-06T15:52:38.906172;0.0
2026-04-07T19:27:02.921178;0.0002
2026-04-07T19:27:24.596297;0.9968
2026-05-01T20:55:02.367606;0.0
2026-05-01T20:55:25.343680;0.0
2026-05-01T20:55:41.044468;0.0
2026-05-01T20:56:25.886599;0.9934
2026-05-14T23:01:49.098637;0.0
2026-05-14T23:02:19.546020;0.0
