time;p_scr
2026-03-18T21:07:40.907405;0.1005
2026-03-18T22:16:04.232839;0.0859
2026-03-19T11:04:34.003456;0.393
2026-03-19T11:05:34.709857;0.9983
2026-03-23T18:33:49.030364;0.0783
2026-03-26T13:12:42.942101;0.0002
2026-03-27T21:45:38.545955;0.0038
2026-03-27T21:46:40.641518;0.9942
2026-04-05T17:56:40.745636;0.0
2026-04-05T17:57:18.688853;0.9968
2026-04-14T17:08:32.735229;0.0
2026-04-24T00:23:41.687532;0.0
2026-04-24T00:24:28.103688;0.0
2026-04-24T00:25:47.583522;0.9929
2026-04-30T20:05:50.616121;0.0
2026-04-30T20:06:24.548462;0.9969
2026-05-12T17:31:32.396927;0.0
2026-05-12T17:32:48.978161;0.9935
2026-05-14T23:00:12.135630;0.0024
2026-05-24T00:21:56.308052;0.0
2026-05-24T00:22:10.970752;0.9989
