time;p_scr
2026-03-19T15:01:09.228114;0.0
2026-03-19T15:01:58.420984;0.0
2026-03-19T23:17:00.869482;0.0
2026-03-19T23:17:30.306163;0.0
2026-03-19T23:18:52.154270;0.0
2026-03-19T23:27:55.719646;0.0
2026-03-19T23:33:51.899093;0.0
2026-03-19T23:34:52.845568;0.9958
2026-03-23T18:34:59.254363;0.0136
2026-03-24T15:46:04.068250;0.2174
2026-03-25T14:17:30.556920;0.2813
2026-03-27T21:42:12.576334;0.0146
2026-04-02T18:01:20.938197;0.0048
2026-04-06T15:51:18.932138;0.0183
2026-04-24T00:25:42.888547;0.0029
2026-04-24T00:26:29.146786;0.9984
2026-05-14T23:00:16.894982;0.0066
