time;p_scr
2026-03-18T22:14:50.471241;0.338
2026-03-19T23:28:00.910521;0.2122
2026-03-21T12:59:24.519836;0.3161
2026-03-21T13:00:06.172808;0.2892
2026-03-25T16:52:17.215332;0.094
2026-03-25T18:41:39.307409;0.1539
2026-03-26T13:12:02.868118;0.024
2026-03-26T13:12:50.748794;0.9961
2026-03-27T21:45:58.910389;0.0121
2026-03-27T21:46:33.332231;0.9975
2026-04-02T18:02:48.072372;0.0001
2026-04-02T18:03:31.630021;0.9966
2026-04-06T15:50:53.371017;0.0004
2026-04-06T15:51:32.062468;0.9969
2026-04-22T22:31:03.510938;0.0
2026-04-22T22:31:57.497126;0.996
2026-04-30T20:07:12.195270;0.0002
